,Unnamed: 0,distance_subway
2194,10126,2012
2195,10137,182
2197,10195,201
2198,10196,454
2199,10197,422
2200,10212,798
2201,10215,382
2203,10233,387
2205,10278,684
2207,10285,1180
2208,10297,457
2209,10305,670
2210,10317,354
2211,10318,354
2212,10319,604
2213,10320,357
2214,10321,268
2215,10322,354
2216,10323,354
2221,10339,304
2222,10340,344
2223,10343,395
2224,10345,388
2226,10347,409
2227,10348,59
2228,10353,2131
2229,10354,2261
2230,10355,1483
2231,10356,2120
2232,10357,2097
2233,10358,269
2234,10369,444
2236,10371,1013
2237,10372,747
2238,10373,415
2239,10374,2116
2240,10375,3867
2241,10380,361
2243,10418,486
2252,10441,942
2253,10442,942
2255,10445,195
2256,10449,86
2258,10453,368
